"Name","Length"
"BOUNDARY.md","1426"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_003_APP3_REV1_PACK.zip","6994"
"gg_comet_v002_horizontal.png","1741752"
"gg_explosion_large_v002_sheet_horizontal.png","2585002"
"gg_explosion_small_v002_horizontal.png","1736631"
"gg_game_over_buttons_v002_states_corrected.zip","541713"
"GG_Gold_Font_Production_v1.zip","7247001"
"gg_nuke_burst_v002_horizontal.png","2486712"
"gg_nuke_projectile_v002_horizontal_upright.png","2061937"
"GG_Silver_Font_Production_v1.zip","14351082"
"gg_victory_panel_v002_no_values.png","2247203"
"README.md","268"
