"RelativePath","Length","SHA256"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\MANIFEST_SHA256.json","2115","D78E2CB9DE6CB1C30012436FEF9CE7FC1E3BE5B93584D2EFB1B0C27C00F9E2F5"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\00_CTO_COMMISSION\CTO_REV5_FINAL_LEGACY_BASELINE_COMMISSION.md","767","5DAFDF73F557F63004A9D18D3E68C050F308807C6FFF19ED74FBB9AFF4F3D257"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\01_DEEP_DIVE_FINDINGS\CTO_SOURCE_ANALYSIS.md","1198","57631CFABD0CA020DDCB7D24F115E856546EF061301F5F2202535E127D136E4B"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\02_COMBAT_AUTHORITY\COMBAT_INTERACTION_MATRIX.md","1134","44164752DC8DC971B6166112F95CD7A628FFC88D32BDB8641E3ABC5523F5C628"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\03_EXACT_IMPLEMENTATION\CANONICAL_DAMAGE_AND_PROJECTILE_RESOLUTION.md","2466","5F5B77FF6066E5D97B63DA413200778477DAAB6041AAB3B78A675947B08467E9"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\03_EXACT_IMPLEMENTATION\SCENE_BY_SCENE_CHANGE_LIST.md","775","6CD193D6EAEEEED06939C8D4944C196FA3A7F3A03638702BDF4D547B2557FE25"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\04_HERO_AUTHORITY\HERO_ASSET_AUTHORITY.md","775","AE1120E6F1742274E3F54890C8986C2BD43D3AB6A8EECA454CD105B61925B3FD"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\05_TEST_AND_EVIDENCE\MANDATORY_REV5_TESTS.md","1515","4B339724EE7AF1A76D86D15018FB8E2891B3D91CEE5C7175603F50DB566DA9E3"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\05_TEST_AND_EVIDENCE\REV5_ACCEPTANCE_DENOMINATOR.md","1027","3794E3B8463B00490C474E30995D520E18196A48E9E15ED396B140E8AB248FAF"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\06_CLOSURE\RETURN_REQUIREMENTS.md","989","6A016A24B415A38C21C534934E0643296DAA223FC6E974949C632BE0C78EE908"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\07_ROUTING\ROUTING_MESSAGE.md","3894","C37CEF590A5A2DE81C8259BAEC0F873C94DA0CB2B62479C09EFFD0E8C9CB98A7"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\PAYLOAD\assets\gg_hero_image_player_fighting_v002_2x_poster_master.png","5113426","119DDE72A02DC3722A7334D270C9F0221A3B078013BAEC9D3CD7D64FCEC136F4"
"GALACTIC_GUNNERS_DEVTEAM_HANDOFF_IN_004_REV5\PAYLOAD\assets\gg_hero_image_player_fighting_v002_4k_uhd_master.png","5135424","D524E9A9A6971CCE5CE16F52C6586E436C1B1A9B7CFD1983EB05D0E85ACF00DF"
