asset_id,provenance_class,source_description,source_package,source_path,source_sha256,creator_or_origin,human_direction_or_contribution,third_party_dependency,licence_or_rights_basis,rights_evidence_path,production_clearance,lineage_notes
GG-AUDIO-AUDIO-OWNED-REV2-GG-COMET-DESTROYED-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_comet_destroyed_v001.wav,058659619C7D4A79728858B337801B0501B0978474AAA32B0A40F26EAA678908,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-ENEMY-LASER-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_enemy_laser_v001.wav,FCE8F2C8853FF92A6EF2F80D9418C11B34F9601B5EFDA385377080999E6D5942,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-EXPLOSION-LARGE-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_explosion_large_v001.wav,E94572901D77BCFE9F36F47304A7BC4105D9576453EC390BAE2807B1AC08B202,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-EXPLOSION-SMALL-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_explosion_small_v001.wav,AEFFDB12344846F6207C61F0A70F19F9FDF5835D621745A75BD4707012F94FE4,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-GAME-OVER-STINGER-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_game_over_stinger_v001.wav,92B78AF0FD4401E56FBE807494E406B7B45844A79C7E810B60F89BCBE6021CA8,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-MOTHERSHIP-DESTROYED-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_mothership_destroyed_v001.wav,F127E1FE61B10384C5C33F300E5C3FC6B9FF713B15BEA78FAF0C7E89F3244DD4,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-MOTHERSHIP-HIT-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_mothership_hit_v001.wav,626E414B8BF821EF6F05C43F8BA3FAE04E8C1823873E65FE603BF1F5308EDE36,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-NUKE-BURST-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_nuke_burst_v001.wav,46E97A344CBCEF9E775B9FCC81B0895858D29E975C32C416C6E3CD91C8DA6D2B,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-NUKE-FIRE-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_nuke_fire_v001.wav,CDECCACB879343A5D3772EFE6ABF6A514F8E7B2CC5C5486C123D4B8906898E1C,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
GG-AUDIO-AUDIO-OWNED-REV2-GG-PLAYER-HIT-V001,FOUNDER_PROJECT_OWNED_OUTPUT,Founder-accepted REV2 owned audio estate; 48kHz/24-bit PCM stereo baseline.,GalacticGunners.zip,GalacticGunners/assets/audio/GALACTIC_GUNNERS_OWNED_AUDIO_ESTATE_v1.0_REV2/audio/gg_player_hit_v001.wav,049D14BD1353957D2A859FF4F5C56E5B854B6D75B9D136310559CA45810BF311,Founder Michael Leese / Inceptivec supplied owned audio estate,"Founder selection, direction, supply and admission for Galactic Gunners project baseline.",NONE DECLARED IN SUPPLIED BASELINE,Founder project authority; commercial-use clearance classified for active production assets by this baseline.,assets/source_evidence/audio/owned_audio_estate_v1.0_rev2/docs/OWNERSHIP_AND_PROVENANCE_v1.0_REV2.md,CLEARED,No byte transformation performed during canonical placement; path/filename normalization only where recorded.
