key,asset_id,canonical_path,canonical_sha256,runtime_path,runtime_sha256,bytes_identical
background.starfield,GG-BACKGROUND-BACKGROUNDS-OWNED-GG-BG-STARFIELD-V002,assets/backgrounds/owned/gg_bg_starfield_v002.png,25BBB12578B10E5AD6E77593656DF3CE8FFD72A15EEABADA8134ED76390301C2,/gg-runtime-assets/backgrounds/gg_bg_starfield_v002.png,25BBB12578B10E5AD6E77593656DF3CE8FFD72A15EEABADA8134ED76390301C2,PASS
branding.primaryLogo,GG-BRAND-BRANDING-LOGOS-GG-LOGO-PRIMARY-V002,assets/branding/logos/gg_logo_primary_v002.png,4815BCBF0325CEBC0DE9B61F4CADBD87D6C791EF54F4B537CF2DA196221AAB76,/gg-runtime-assets/branding/gg_logo_primary_v002.png,4815BCBF0325CEBC0DE9B61F4CADBD87D6C791EF54F4B537CF2DA196221AAB76,PASS
player.ship,GG-SPRITE-SPRITES-SHIPS-GG-PLAYER-SHIP-V002-SHEET,assets/sprites/ships/gg_player_ship_v002_sheet.png,A3E2EDBDEE85B312AD1766EE00C5A5438F60ABF9DFCD006B2BD8474012DDFF38,/gg-runtime-assets/sprites/ships/gg_player_ship_v002_sheet.png,A3E2EDBDEE85B312AD1766EE00C5A5438F60ABF9DFCD006B2BD8474012DDFF38,PASS
enemy.scout,GG-SPRITE-SPRITES-SHIPS-GG-ENEMY-SCOUT-V002-SHEET,assets/sprites/ships/gg_enemy_scout_v002_sheet.png,FBB60A9EB52346CB57CDF22FA1B6088DD24B08F9132540B05DFD0F1612405A7F,/gg-runtime-assets/sprites/ships/gg_enemy_scout_v002_sheet.png,FBB60A9EB52346CB57CDF22FA1B6088DD24B08F9132540B05DFD0F1612405A7F,PASS
projectile.playerLaser,GG-SPRITE-SPRITES-OBJECTS-GG-PLAYER-LASER-V002,assets/sprites/objects/gg_player_laser_v002.png,D89ED695599F72F4980538E6AB89AEE2BFA85A6307A392C9FC08E2BDA38D1E13,/gg-runtime-assets/sprites/objects/gg_player_laser_v002.png,D89ED695599F72F4980538E6AB89AEE2BFA85A6307A392C9FC08E2BDA38D1E13,PASS
projectile.enemyLaser,GG-SPRITE-SPRITES-OBJECTS-GG-ENEMY-LASER-V002,assets/sprites/objects/gg_enemy_laser_v002.png,C25388AA4C1BAA3123AFCAB5B820718150806749E4AE5F6D8B99331C793578AC,/gg-runtime-assets/sprites/objects/gg_enemy_laser_v002.png,C25388AA4C1BAA3123AFCAB5B820718150806749E4AE5F6D8B99331C793578AC,PASS
fx.explosionSmall,GG-SPRITE-SPRITES-OBJECTS-GG-EXPLOSION-SMALL-V002-SHEET,assets/sprites/objects/gg_explosion_small_v002_sheet.png,3F8FF2BB76214E234828AB9BE559A21BC5935CC4E6336E558AC35B6380E39049,/gg-runtime-assets/sprites/objects/gg_explosion_small_v002_sheet.png,3F8FF2BB76214E234828AB9BE559A21BC5935CC4E6336E558AC35B6380E39049,PASS
ui.lifeIcon,GG-UI-UI-ICONS-GG-HUD-LIFE-ICON-V002,assets/ui/icons/gg_hud_life_icon_v002.png,9E0F8607F264ACB9614958D7043C5F69F4A4EBB303D57049203FD481D1EB0408,/gg-runtime-assets/ui/icons/gg_hud_life_icon_v002.png,9E0F8607F264ACB9614958D7043C5F69F4A4EBB303D57049203FD481D1EB0408,PASS
font.goldDisplay,GG-FONT-FONTS-GOLD-DISPLAY-V1-0-GALACTICGUNNERS-GOLD-DISPLAY-FONT-V1-0-PRODUCTION-WEB-GALACTICGUNNERSGOL-2,assets/fonts/gold_display_v1.0/GalacticGunners_Gold_Display_Font_v1.0_PRODUCTION/web/GalacticGunnersGoldDisplay-Regular.woff2,8EF834D1046F7C95F0A257512B33E80030F98BF6E2A21B22B2DC25B774089F4B,/gg-runtime-assets/fonts/GoldDisplay/GalacticGunnersGoldDisplay-Regular.woff2,8EF834D1046F7C95F0A257512B33E80030F98BF6E2A21B22B2DC25B774089F4B,PASS
font.silverDisplay,GG-FONT-FONTS-SILVER-DISPLAY-V1-0-GALACTICGUNNERS-SILVER-DISPLAY-FONT-V1-0-PRODUCTION-WEB-GALACTICGUNNER-2,assets/fonts/silver_display_v1.0/GalacticGunners_Silver_Display_Font_v1.0_PRODUCTION/web/GalacticGunnersSilverDisplay-Regular.woff2,908926163A1455032D9D5D7E11FA6C470204408B56EE65534BBA9FAA8E4762F1,/gg-runtime-assets/fonts/SilverDisplay/GalacticGunnersSilverDisplay-Regular.woff2,908926163A1455032D9D5D7E11FA6C470204408B56EE65534BBA9FAA8E4762F1,PASS
font.hud,GG-FONT-FONTS-HUD-V1-0-GALACTICGUNNERSHUD-FONT-V1-0-PRODUCTION-WEB-GALACTICGUNNERSHUD-REGULAR-2,assets/fonts/hud_v1.0/GalacticGunnersHUD_Font_v1.0_PRODUCTION/web/GalacticGunnersHUD-Regular.woff,F890F251A422B1291516B1D2433AAADCAD7B27A66CD3746AB2538A9B4331D2FD,/gg-runtime-assets/fonts/HUD/GalacticGunnersHUD-Regular.woff,F890F251A422B1291516B1D2433AAADCAD7B27A66CD3746AB2538A9B4331D2FD,PASS
audio.uiConfirm,GG-AUDIO-AUDIO-OWNED-REV2-GG-UI-CONFIRM-V001,assets/audio/owned/rev2/gg_ui_confirm_v001.wav,5126059176E8D15623C5EFF70DCD8EAF39ED092156E8C5EFA3D55468C5317B93,/gg-runtime-assets/audio/gg_ui_confirm_v001.wav,5126059176E8D15623C5EFF70DCD8EAF39ED092156E8C5EFA3D55468C5317B93,PASS
audio.uiSelect,GG-AUDIO-AUDIO-OWNED-REV2-GG-UI-SELECT-V001,assets/audio/owned/rev2/gg_ui_select_v001.wav,BB382B07D808043ECD484DE8F92C154596F7DA95A11DCE60FB770E2862AF0618,/gg-runtime-assets/audio/gg_ui_select_v001.wav,BB382B07D808043ECD484DE8F92C154596F7DA95A11DCE60FB770E2862AF0618,PASS
audio.playerLaser,GG-AUDIO-AUDIO-OWNED-REV2-GG-PLAYER-LASER-V001,assets/audio/owned/rev2/gg_player_laser_v001.wav,9EDA7CF68F47E307AB3F7041E1DD59AC5F07E279C32CB1A9C9D3405905247AFF,/gg-runtime-assets/audio/gg_player_laser_v001.wav,9EDA7CF68F47E307AB3F7041E1DD59AC5F07E279C32CB1A9C9D3405905247AFF,PASS
audio.enemyLaser,GG-AUDIO-AUDIO-OWNED-REV2-GG-ENEMY-LASER-V001,assets/audio/owned/rev2/gg_enemy_laser_v001.wav,FCE8F2C8853FF92A6EF2F80D9418C11B34F9601B5EFDA385377080999E6D5942,/gg-runtime-assets/audio/gg_enemy_laser_v001.wav,FCE8F2C8853FF92A6EF2F80D9418C11B34F9601B5EFDA385377080999E6D5942,PASS
audio.explosionSmall,GG-AUDIO-AUDIO-OWNED-REV2-GG-EXPLOSION-SMALL-V001,assets/audio/owned/rev2/gg_explosion_small_v001.wav,AEFFDB12344846F6207C61F0A70F19F9FDF5835D621745A75BD4707012F94FE4,/gg-runtime-assets/audio/gg_explosion_small_v001.wav,AEFFDB12344846F6207C61F0A70F19F9FDF5835D621745A75BD4707012F94FE4,PASS
audio.playerHit,GG-AUDIO-AUDIO-OWNED-REV2-GG-PLAYER-HIT-V001,assets/audio/owned/rev2/gg_player_hit_v001.wav,049D14BD1353957D2A859FF4F5C56E5B854B6D75B9D136310559CA45810BF311,/gg-runtime-assets/audio/gg_player_hit_v001.wav,049D14BD1353957D2A859FF4F5C56E5B854B6D75B9D136310559CA45810BF311,PASS
