character,unicode,glyph
 ,U+0020,space
!,U+0021,exclam
#,U+0023,numbersign
$,U+0024,dollar
%,U+0025,percent
&,U+0026,ampersand
(,U+0028,parenleft
),U+0029,parenright
*,U+002A,asterisk
+,U+002B,plus
",",U+002C,comma
-,U+002D,hyphen
.,U+002E,period
/,U+002F,slash
0,U+0030,0
1,U+0031,1
2,U+0032,2
3,U+0033,3
4,U+0034,4
5,U+0035,5
6,U+0036,6
7,U+0037,7
8,U+0038,8
9,U+0039,9
:,U+003A,colon
;,U+003B,semicolon
<,U+003C,less
=,U+003D,equal
>,U+003E,greater
?,U+003F,question
@,U+0040,at
A,U+0041,A
B,U+0042,B
C,U+0043,C
D,U+0044,D
E,U+0045,E
F,U+0046,F
G,U+0047,G
H,U+0048,H
I,U+0049,I
J,U+004A,J
K,U+004B,K
L,U+004C,L
M,U+004D,M
N,U+004E,N
O,U+004F,O
P,U+0050,P
Q,U+0051,Q
R,U+0052,R
S,U+0053,S
T,U+0054,T
U,U+0055,U
V,U+0056,V
W,U+0057,W
X,U+0058,X
Y,U+0059,Y
Z,U+005A,Z
[,U+005B,bracketleft
\,U+005C,backslash
],U+005D,bracketright
_,U+005F,underscore
a,U+0061,A
b,U+0062,B
c,U+0063,C
d,U+0064,D
e,U+0065,E
f,U+0066,F
g,U+0067,G
h,U+0068,H
i,U+0069,I
j,U+006A,J
k,U+006B,K
l,U+006C,L
m,U+006D,M
n,U+006E,N
o,U+006F,O
p,U+0070,P
q,U+0071,Q
r,U+0072,R
s,U+0073,S
t,U+0074,T
u,U+0075,U
v,U+0076,V
w,U+0077,W
x,U+0078,X
y,U+0079,Y
z,U+007A,Z
|,U+007C,bar
£,U+00A3,sterling
€,U+20AC,Euro
