asset_key,source_frame_centres_x,source_slice_boundaries_x,background_method
boarding.player.idle,"205,465,736,1013,1307,1620","0,335,600,875,1160,1464,1881","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.player.walk,"184,409,654,847,1083,1372,1609,1839","0,297,532,750,965,1228,1490,1724,1983","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.player.run,"239,450,750,1067,1391,1713","0,345,600,908,1229,1552,1881","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.player.jump,"188,449,741,988,1262,1529,1729,2045","0,318,595,864,1125,1396,1629,1887,2172","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.player.fire,"184,443,708,915,1199,1466,1797,2069","0,314,576,812,1057,1333,1632,1933,2172","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.player.hit_death,"181,489,682,955,1365,1570,1767,2061","0,335,586,818,1160,1468,1669,1914,2172","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.player.crouch_aim,"158,507,880,1294,1667,1993","0,333,694,1087,1481,1830,2103","remove baked light checkerboard by deterministic colour/edge mask; manual review required"
boarding.alien.idle,"191,479,759,1049,1346,1579","0,335,619,904,1198,1463,1831","remove opaque light background by deterministic colour/edge mask; manual review required"
boarding.alien.walk,"190,453,711,909,1238,1492,1744,1971","0,322,582,810,1074,1365,1618,1858,2071","use existing alpha; crop logical slice then alpha-trim"
boarding.alien.run_attack,"234,616,951,1288,1577,1922","0,425,784,1120,1433,1750,2032","use existing alpha; crop logical slice then alpha-trim"
boarding.alien.jump_fall,"160,387,634,847,1156,1363,1680,1914","0,274,510,740,1002,1260,1522,1797,2007","use existing alpha; crop logical slice then alpha-trim"
boarding.alien.fire,"152,407,653,915,1174,1460,1753,2006","0,280,530,784,1045,1317,1607,1880,2172","use existing alpha; crop logical slice then alpha-trim"
boarding.alien.hit_death,"155,551,975,1362,1710,2027","0,353,763,1169,1536,1868,2171","use existing alpha; crop logical slice then alpha-trim"
