asset_key,source_path,source_size,source_frames,state,derivative_path,derivative_size,cell_size,frames,authored_direction,fps,repeat,subranges
boarding.player.idle,assets/boarding/characters/player_001_v001.png,1881x836,6,idle,apps/web/public/gg-runtime-assets/generated/boarding/player_idle_v002.png,1536x384,256x384,"0-5",RIGHT,6,true,"idle=0-5"
boarding.player.walk,assets/boarding/characters/player_002_v001.png,1983x793,8,walk,apps/web/public/gg-runtime-assets/generated/boarding/player_walk_v002.png,2048x384,256x384,"0-7",RIGHT,10,true,"walk=0-7"
boarding.player.run,assets/boarding/characters/player_003_v001.png,1881x836,6,run,apps/web/public/gg-runtime-assets/generated/boarding/player_run_v002.png,1536x384,256x384,"0-5",RIGHT,12,true,"run=0-5"
boarding.player.jump,assets/boarding/characters/player_004_v001.png,2172x724,8,jump_fall,apps/web/public/gg-runtime-assets/generated/boarding/player_jump_v002.png,2048x384,256x384,"0-7",RIGHT,10,false,"launch=0-1;rise=2-3;apex=4;fall=5-6;land=7"
boarding.player.fire,assets/boarding/characters/player_005_v001.png,2172x724,8,fire,apps/web/public/gg-runtime-assets/generated/boarding/player_fire_v002.png,2048x384,256x384,"0-7",RIGHT,12,false,"aim=0-1;fire=2-5;recover=6-7"
boarding.player.hit_death,assets/boarding/characters/player_006_v001.png,2172x724,8,hit_death,apps/web/public/gg-runtime-assets/generated/boarding/player_hit_death_v002.png,2048x384,256x384,"0-7",RIGHT,10,false,"hit=0-2;death=3-7"
boarding.player.crouch_aim,assets/boarding/characters/player_007_v001.png,2103x748,6,crouch_aim,apps/web/public/gg-runtime-assets/generated/boarding/player_crouch_aim_v002.png,1536x384,256x384,"0-5",RIGHT,8,true,"enter=0-1;hold=2-4;recover=5"
boarding.alien.idle,assets/boarding/characters/alien_001_v001.png,1831x859,6,idle,apps/web/public/gg-runtime-assets/generated/boarding/alien_idle_v002.png,1536x384,256x384,"0-5",RIGHT,6,true,"idle=0-5"
boarding.alien.walk,assets/boarding/characters/alien_002_v001.png,2071x725,8,walk,apps/web/public/gg-runtime-assets/generated/boarding/alien_walk_v002.png,2048x384,256x384,"0-7",RIGHT,10,true,"walk=0-7"
boarding.alien.run_attack,assets/boarding/characters/alien_003_v001.png,2032x731,6,run_attack,apps/web/public/gg-runtime-assets/generated/boarding/alien_run_attack_v002.png,1536x384,256x384,"0-5",RIGHT,12,true,"run_attack=0-5"
boarding.alien.jump_fall,assets/boarding/characters/alien_004_v001.png,2007x762,8,jump_fall,apps/web/public/gg-runtime-assets/generated/boarding/alien_jump_fall_v002.png,2048x384,256x384,"0-7",RIGHT,10,false,"launch=0-1;rise=2-3;apex=4;fall=5-6;land=7"
boarding.alien.fire,assets/boarding/characters/alien_005_v001.png,2172x704,8,fire,apps/web/public/gg-runtime-assets/generated/boarding/alien_fire_v002.png,2048x384,256x384,"0-7",RIGHT,12,false,"aim=0-1;fire=2-5;recover=6-7"
boarding.alien.hit_death,assets/boarding/characters/alien_006_v001.png,2171x691,6,hit_death,apps/web/public/gg-runtime-assets/generated/boarding/alien_hit_death_v002.png,1536x384,256x384,"0-5",RIGHT,10,false,"hit=0-1;death=2-5"
