asset_key,source_path,source_size,source_frames,source_layout,source_slice,derivative_path,derivative_size,cell_size,frames,state,authored_direction,fps,repeat,notes
player.ship,assets/sprites/ships/gg_player_ship_v002_sheet.png,2172x724,4,horizontal,"4 cells 543x724",apps/web/public/gg-runtime-assets/generated/sprites/ships/player_ship_v003.png,2048x512,512x512,"0,1,2,3",thrust,NORTH,8,true,"Replace raw-sheet runtime load"
enemy.scout,assets/sprites/ships/gg_enemy_scout_v002_sheet.png,1983x793,4,horizontal,"x=0,501,1002,1503; crop 480x793",apps/web/public/gg-runtime-assets/generated/sprites/ships/enemy_scout_v003.png,2048x512,512x512,"0,1,2,3",thrust,NORTH,6,true,"Preserve 21px source gutters only during extraction"
enemy.cruiser,assets/sprites/ships/gg_enemy_cruiser_v002_sheet.png,1672x941,4,horizontal,"4 cells 418x941",apps/web/public/gg-runtime-assets/generated/sprites/ships/enemy_cruiser_v003.png,2048x512,512x512,"0,1,2,3",thrust,NORTH,6,true,"Current runtime incorrectly registers one frame"
enemy.destroyer,assets/sprites/ships/gg_enemy_destroyer_v002_sheet.png,2172x724,4,horizontal,"4 cells 543x724",apps/web/public/gg-runtime-assets/generated/sprites/ships/enemy_destroyer_v003.png,2048x512,512x512,"0,1,2,3",thrust,NORTH,6,true,"Current runtime incorrectly registers one frame"
enemy.mothership,assets/sprites/ships/gg_boss_mothership_normal_v002_sheet.png,1425x724,4,horizontal,"x boundaries 0,356,712,1068,1425; alpha-trim each",apps/web/public/gg-runtime-assets/generated/sprites/ships/mothership_normal_v003.png,2048x512,512x512,"0,1,2,3",power,NORTH,5,true,"Current runtime incorrectly treats full sheet as one frame"
enemy.mothership.hit,assets/sprites/ships/gg_boss_mothership_HIT_v002_sheet.png,724x724,1,static,"whole image then alpha-trim",apps/web/public/gg-runtime-assets/generated/sprites/ships/mothership_hit_v003.png,512x512,512x512,0,hit,NORTH,0,false,"Static hit-state texture"
fx.asteroid,assets/sprites/objects/gg_asteroid_v002_sheet.png,2172x724,6,horizontal,"6 cells 362x724",apps/web/public/gg-runtime-assets/generated/sprites/objects/asteroid_variants_v003.png,3072x512,512x512,"0,1,2,3,4,5",variant,NORTH,0,false,"Select variant deterministically; rotate object continuously at runtime"
fx.comet,assets/sprites/objects/gg_comet_v002_horizontal_vertical_facing.png,2688x448,6,horizontal,"6 cells 448x448",apps/web/public/gg-runtime-assets/generated/sprites/objects/comet_variants_v003.png,3072x512,512x512,"0,1,2,3,4,5",variant,SOUTH,0,false,"Select variant deterministically; rotate SOUTH onto velocity"
fx.explosionSmall,assets/sprites/objects/gg_explosion_small_v002_horizontal.png,3952x494,8,horizontal,"8 cells 494x494",apps/web/public/gg-runtime-assets/generated/sprites/objects/explosion_small_v003.png,2048x256,256x256,"0,1,2,3,4,5,6,7",explosion,NONE,14,false,"Frame order preserved"
projectile.nuke,assets/sprites/objects/gg_nuke_projectile_v002_horizontal_upright.png,2880x800,4,horizontal,"4 cells 720x800",apps/web/public/gg-runtime-assets/generated/sprites/objects/nuke_projectile_v003.png,1024x256,256x256,"0,1,2,3",flight,NORTH,10,true,"Rotate NORTH onto projectile velocity"
fx.nukeBurst,assets/sprites/objects/gg_nuke_burst_v002_horizontal.png,5160x516,10,horizontal,"10 cells 516x516",apps/web/public/gg-runtime-assets/generated/sprites/objects/nuke_burst_v003.png,2560x256,256x256,"0,1,2,3,4,5,6,7,8,9",burst,NONE,14,false,"Required replacement for incompatible 5160px source runtime texture"
projectile.playerLaser,assets/sprites/objects/gg_player_laser_v002.png,1912x823,1,static,"whole image; alpha-trim",apps/web/public/gg-runtime-assets/generated/sprites/objects/player_laser_v003.png,512x128,512x128,0,projectile,EAST,0,false,"Runtime rotates EAST to velocity"
projectile.enemyLaser,assets/sprites/objects/gg_enemy_laser_v002.png,1536x1024,1,static,"whole image; alpha-trim",apps/web/public/gg-runtime-assets/generated/sprites/objects/enemy_laser_v003.png,512x128,512x128,0,projectile,EAST,0,false,"Runtime rotates EAST to velocity"
shield.tile,assets/sprites/objects/gg_shield_tile_v002.png,1254x1254,1,static,"whole image; alpha-trim",apps/web/public/gg-runtime-assets/generated/sprites/objects/shield_tile_v003.png,256x256,256x256,0,tile,NONE,0,false,"Static destructible tile"
